brand,date,spend,transactions,avg_ticket_size,spend_ly,spend_yoy_pct
BURGER KING,2018-03-20,1367419.98,150440.67,9.08943027174766,,
BURGER KING,2018-03-21,1358191.89,148079.48,9.172046592816235,,
BURGER KING,2018-03-22,1573155.55,169360.65,9.288790223703087,,
BURGER KING,2018-03-23,1782767.63,185419.65,9.614771843221579,,
BURGER KING,2018-03-24,1680642.39,157160.67,10.693784838153208,,
BURGER KING,2018-03-25,1473175.12,134561.46,10.947972175688346,,
BURGER KING,2018-03-26,1377035.74,149494.33,9.211290755977167,,
BURGER KING,2018-03-27,1423676.59,155757.96,9.14031353517984,,
BURGER KING,2018-03-28,1522450.34,165239.1,9.213620384037434,,
BURGER KING,2018-03-29,1704369.69,179745.63,9.482120316360403,,
BURGER KING,2018-03-30,1835433.09,180338.69,10.177700026544498,,
BURGER KING,2018-03-31,1716739.73,157819.54,10.877865503853325,,
BURGER KING,2018-04-01,1212844.21,109019.2,11.1250514588256,,
BURGER KING,2018-04-02,1380617.21,146137.23,9.447402349148126,,
BURGER KING,2018-04-03,1427768.02,153231.15,9.317740028708263,,
BURGER KING,2018-04-04,1513439.21,162657.42,9.304458474750183,,
BURGER KING,2018-04-05,1591457.03,169425.52,9.393254510890685,,
BURGER KING,2018-04-06,1811890.67,185004.8,9.793749513526135,,
BURGER KING,2018-04-07,1656811.78,153566.67,10.78887612787332,,
BURGER KING,2018-04-08,1478057.88,132509.01,11.154395312439506,,
BURGER KING,2018-04-09,1356439.1,148888.72,9.1104221998819,,
BURGER KING,2018-04-10,1423860.0,156872.62,9.076536109360577,,
BURGER KING,2018-04-11,1497701.37,165034.66,9.075071684941818,,
BURGER KING,2018-04-12,1618075.42,175084.6,9.241677566159444,,
BURGER KING,2018-04-13,1811839.62,188626.77,9.605421436204416,,
BURGER KING,2018-04-14,1654116.24,154239.23,10.72435488688578,,
BURGER KING,2018-04-15,1409627.04,128249.19,10.991313395429632,,
BURGER KING,2018-04-16,1365082.18,149982.43,9.101613969049575,,
BURGER KING,2018-04-17,1413282.13,157059.76,8.99837189360279,,
BURGER KING,2018-04-18,1479764.95,162713.08,9.09432081305326,,
BURGER KING,2018-04-19,1593853.93,173117.36,9.2067827859667,,
BURGER KING,2018-04-20,1851701.12,192715.27,9.608481569727195,,
BURGER KING,2018-04-21,1712118.66,161238.87,10.618523064568736,,
BURGER KING,2018-04-22,1540025.58,139755.57,11.019421837712802,,
BURGER KING,2018-04-23,1361571.65,149865.09,9.085315666243552,,
BURGER KING,2018-04-24,1410224.26,157118.61,8.975539307533335,,
BURGER KING,2018-04-25,1509284.41,167088.93,9.032821085155073,,
BURGER KING,2018-04-26,1641942.71,178274.28,9.21020525226634,,
BURGER KING,2018-04-27,1883458.49,196625.48,9.578913628081162,,
BURGER KING,2018-04-28,1771147.86,167185.52,10.593907056065623,,
BURGER KING,2018-04-29,1574908.83,145191.57,10.847109305312975,,
BURGER KING,2018-04-30,1417269.41,156753.16,9.041408862188169,,
BURGER KING,2018-05-01,1500966.79,165288.48,9.080891723367532,,
